copy-compute-copy time, 8, 4, 2, G, 0.071539
cpu time, 8, 4, 2, G, 0.021221
Load time, 8, 4, 2, T, 0.004089
copy-compute-copy time, 8, 4, 2, T, 0.071266
cpu time, 8, 4, 2, T, 0.023153
Load time, 8, 4, 4, G, 0.004045
copy-compute-copy time, 8, 4, 4, G, 0.085635
cpu time, 8, 4, 4, G, 0.009040
Load time, 8, 4, 4, S, 0.004040
Load time, 8, 4, 4, T, 0.004345
copy-compute-copy time, 8, 4, 4, T, 0.072183
cpu time, 8, 4, 4, T, 0.013627
Load time, 8, 8, 1, G, 0.003836
copy-compute-copy time, 8, 8, 1, G, 0.093798
cpu time, 8, 8, 1, G, 0.322352
Load time, 8, 8, 1, S, 0.004022
copy-compute-copy time, 8, 8, 1, S, 0.076867
cpu time, 8, 8, 1, S, 0.322276
Load time, 8, 8, 1, T, 0.004031
copy-compute-copy time, 8, 8, 1, T, 0.073798
cpu time, 8, 8, 1, T, 0.350750
Load time, 8, 8, 2, G, 0.004354
copy-compute-copy time, 8, 8, 2, G, 0.078185
cpu time, 8, 8, 2, G, 0.098680
Load time, 8, 8, 2, S, 0.004028
Load time, 8, 8, 2, T, 0.004025
copy-compute-copy time, 8, 8, 2, T, 0.072837
cpu time, 8, 8, 2, T, 0.081992
Load time, 8, 8, 4, G, 0.003789
copy-compute-copy time, 8, 8, 4, G, 0.072461
cpu time, 8, 8, 4, G, 0.021405
Load time, 8, 8, 4, S, 0.004251
Load time, 8, 8, 4, T, 0.004479
copy-compute-copy time, 8, 8, 4, T, 0.079547
cpu time, 8, 8, 4, T, 0.021851
Load time, 12, 4, 1, G, 0.004062
copy-compute-copy time, 12, 4, 1, G, 0.075442
cpu time, 12, 4, 1, G, 0.080303
Load time, 12, 4, 1, S, 0.004041
copy-compute-copy time, 12, 4, 1, S, 0.073483
cpu time, 12, 4, 1, S, 0.079781
Load time, 12, 4, 1, T, 0.003456
copy-compute-copy time, 12, 4, 1, T, 0.067250
cpu time, 12, 4, 1, T, 0.080062
Load time, 12, 4, 2, G, 0.004032
copy-compute-copy time, 12, 4, 2, G, 0.073601
cpu time, 12, 4, 2, G, 0.022444
Load time, 12, 4, 2, S, 0.004218
Load time, 12, 4, 4, G, 0.004370
copy-compute-copy time, 12, 4, 4, G, 0.079448
cpu time, 12, 4, 4, G, 0.007524
Load time, 12, 4, 4, S, 0.004410
Load time, 12, 4, 4, T, 0.004058
copy-compute-copy time, 12, 4, 4, T, 0.075528
cpu time, 12, 4, 4, T, 0.006932
Load time, 12, 8, 1, G, 0.004367
copy-compute-copy time, 12, 8, 1, G, 0.074636
cpu time, 12, 8, 1, G, 0.319916
Load time, 12, 8, 1, S, 0.004170
Load time, 12, 8, 1, T, 0.004148
copy-compute-copy time, 12, 8, 1, T, 0.087841
cpu time, 12, 8, 1, T, 0.323178
Load time, 12, 8, 2, G, 0.004357
copy-compute-copy time, 12, 8, 2, G, 0.087437
